                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.8988,                 1.1957,                0.72796,                 1.0201,                0.90512,                0.92577,                0.93828,                0.76017,                0.88918,                0.91153,                0.91218,                0.57713,                0.81985,                 1.0973,                 0.6267,                0.94862,             0.00044005,             0.00044005,             0.00044005
                     75,                0.88108,                 1.1384,                0.66223,                0.96059,                0.96883,                0.90327,                0.94538,                0.79082,                0.95171,                0.88403,                0.91676,                0.59789,                0.75939,                 1.0951,                0.57689,                0.93479,              0.0004377,              0.0004377,              0.0004377
                     76,                0.73519,                 1.0298,                0.56998,                0.92561,                0.96883,                0.90327,                0.94538,                0.79082,                0.95171,                0.88403,                0.91676,                0.59789,                0.75939,                 1.0951,                0.57689,                0.93479,             0.00043513,             0.00043513,             0.00043513
                     77,                0.79029,                 1.1096,                0.62012,                0.95213,                0.96883,                0.90327,                0.94538,                0.79082,                0.95171,                0.88403,                0.91676,                0.59789,                0.75939,                 1.0951,                0.57689,                0.93479,             0.00043233,             0.00043233,             0.00043233
                     78,                0.80173,                 1.1335,                0.60349,                 0.9204,                0.98245,                0.91407,                0.94924,                 0.8115,                0.95864,                0.89489,                 0.9139,                0.59239,                0.75945,                 1.1189,                 0.5606,                0.93465,              0.0004293,              0.0004293,              0.0004293
                     79,                0.75391,                 1.0479,                0.57739,                0.91346,                0.98245,                0.91407,                0.94924,                 0.8115,                0.95864,                0.89489,                 0.9139,                0.59239,                0.75945,                 1.1189,                 0.5606,                0.93465,             0.00042605,             0.00042605,             0.00042605
                     80,                0.86656,                 1.1676,                0.60363,                0.92165,                0.98245,                0.91407,                0.94924,                 0.8115,                0.95864,                0.89489,                 0.9139,                0.59239,                0.75945,                 1.1189,                 0.5606,                0.93465,             0.00042257,             0.00042257,             0.00042257
                     81,                0.78065,                 1.0956,                0.57493,                0.94266,                0.92702,                0.91085,                0.94135,                0.81391,                0.90765,                0.89316,                0.91395,                0.59574,                0.73726,                 1.0463,                0.60104,                0.93081,             0.00041887,             0.00041887,             0.00041887
                     82,                0.76212,                 1.0319,                0.61312,                0.93452,                0.92702,                0.91085,                0.94135,                0.81391,                0.90765,                0.89316,                0.91395,                0.59574,                0.73726,                 1.0463,                0.60104,                0.93081,             0.00041494,             0.00041494,             0.00041494
                     83,                0.79227,                 1.0612,                0.56987,                0.91928,                0.92702,                0.91085,                0.94135,                0.81391,                0.90765,                0.89316,                0.91395,                0.59574,                0.73726,                 1.0463,                0.60104,                0.93081,             0.00041078,             0.00041078,             0.00041078
                     84,                0.81263,                 1.1295,                0.64835,                 0.9623,                0.92975,                 0.9244,                0.94655,                0.82347,                0.90956,                0.90882,                 0.9195,                 0.6426,                0.70465,                0.98999,                0.55161,                0.91276,              0.0004064,              0.0004064,              0.0004064
                     85,                0.75062,                 1.0982,                0.60125,                0.93178,                0.92975,                 0.9244,                0.94655,                0.82347,                0.90956,                0.90882,                 0.9195,                 0.6426,                0.70465,                0.98999,                0.55161,                0.91276,             0.00040178,             0.00040178,             0.00040178
                     86,                0.76343,                0.99128,                0.54219,                0.93159,                0.92975,                 0.9244,                0.94655,                0.82347,                0.90956,                0.90882,                 0.9195,                 0.6426,                0.70465,                0.98999,                0.55161,                0.91276,             0.00039695,             0.00039695,             0.00039695
                     87,                0.80283,                 1.1352,                0.59103,                0.94757,                0.92975,                 0.9244,                0.94655,                0.82347,                0.90956,                0.90882,                 0.9195,                 0.6426,                0.70465,                0.98999,                0.55161,                0.91276,             0.00039188,             0.00039188,             0.00039188
                     88,                 0.7655,                 1.0531,                0.57215,                0.93042,                0.98464,                 0.9098,                0.94788,                0.81857,                0.96225,                0.89296,                0.91959,                0.65403,                0.69201,                0.98628,                0.50167,                0.90697,             0.00038659,             0.00038659,             0.00038659
                     89,                 0.8034,                 1.1543,                0.58942,                0.91558,                0.98464,                 0.9098,                0.94788,                0.81857,                0.96225,                0.89296,                0.91959,                0.65403,                0.69201,                0.98628,                0.50167,                0.90697,             0.00038108,             0.00038108,             0.00038108
                     90,                0.81372,                 1.1347,                0.59501,                0.90735,                0.98464,                 0.9098,                0.94788,                0.81857,                0.96225,                0.89296,                0.91959,                0.65403,                0.69201,                0.98628,                0.50167,                0.90697,             0.00037534,             0.00037534,             0.00037534
                     91,                0.74001,                 1.0224,                 0.5658,                 0.9003,                0.98464,                 0.9098,                0.94788,                0.81857,                0.96225,                0.89296,                0.91959,                0.65403,                0.69201,                0.98628,                0.50167,                0.90697,             0.00036937,             0.00036937,             0.00036937
                     92,                0.71011,                 1.0052,                0.56196,                0.90569,                0.97047,                0.91264,                0.94851,                0.82963,                0.95262,                0.89453,                0.92009,                0.65538,                0.70037,                 1.0003,                0.50067,                0.89885,             0.00036317,             0.00036317,             0.00036317
                     93,                0.77956,                 1.0951,                0.61207,                0.90984,                0.97047,                0.91264,                0.94851,                0.82963,                0.95262,                0.89453,                0.92009,                0.65538,                0.70037,                 1.0003,                0.50067,                0.89885,             0.00035675,             0.00035675,             0.00035675
                     94,                0.75786,                  0.979,                0.56824,                0.90478,                0.97047,                0.91264,                0.94851,                0.82963,                0.95262,                0.89453,                0.92009,                0.65538,                0.70037,                 1.0003,                0.50067,                0.89885,              0.0003501,              0.0003501,              0.0003501
                     95,                0.73663,                 1.0468,                0.57266,                0.91982,                0.97047,                0.91264,                0.94851,                0.82963,                0.95262,                0.89453,                0.92009,                0.65538,                0.70037,                 1.0003,                0.50067,                0.89885,             0.00034323,             0.00034323,             0.00034323
                     96,                0.74304,                 1.0168,                0.59048,                0.92229,                0.98649,                0.92861,                0.95059,                 0.8367,                0.96286,                0.90916,                0.92238,                0.67053,                0.65807,                0.98965,                0.49482,                0.88521,             0.00033613,             0.00033613,             0.00033613
                     97,                0.70881,                0.99469,                 0.5231,                0.89027,                0.98649,                0.92861,                0.95059,                 0.8367,                0.96286,                0.90916,                0.92238,                0.67053,                0.65807,                0.98965,                0.49482,                0.88521,              0.0003288,              0.0003288,              0.0003288
                     98,                0.76335,                  1.056,                0.55792,                0.89185,                0.98649,                0.92861,                0.95059,                 0.8367,                0.96286,                0.90916,                0.92238,                0.67053,                0.65807,                0.98965,                0.49482,                0.88521,             0.00032125,             0.00032125,             0.00032125
                     99,                0.78798,                 1.1068,                0.56019,                0.92697,                0.98649,                0.92861,                0.95059,                 0.8367,                0.96286,                0.90916,                0.92238,                0.67053,                0.65807,                0.98965,                0.49482,                0.88521,             0.00031347,             0.00031347,             0.00031347
